	home_id	last_scraped	price	number_of_reviews	scores_overall	scores_accuracy	scores_cleanliness	scores_checkin	scores_communication	scores_location	scores_value	reviews_per_month
2993	8426827	2016-01-04	135	3	93.0	10.0	10.0	10.0	10.0	9.0	9.0	0.9
2994	7771531	2016-01-04	79	13	94.0	9.0	10.0	10.0	10.0	10.0	10.0	3.45
2996	2060441	2016-01-04	435	10	88.0	9.0	10.0	10.0	10.0	9.0	9.0	0.53
2997	2158992	2016-01-04	110	4	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.79
3000	4144767	2016-01-04	95	5	84.0	9.0	9.0	8.0	9.0	8.0	8.0	0.67
3001	1301535	2016-01-04	105	89	95.0	9.0	10.0	10.0	10.0	9.0	10.0	4.54
3002	3882930	2016-01-04	60	17	98.0	10.0	10.0	10.0	10.0	10.0	10.0	1.06
3004	5364244	2016-01-04	130	32	98.0	10.0	10.0	10.0	10.0	9.0	10.0	3.12
3005	4127196	2016-01-04	95	4	90.0	10.0	10.0	10.0	10.0	10.0	10.0	0.67
3006	30712	2016-01-04	75	64	81.0	8.0	7.0	9.0	9.0	9.0	8.0	0.95
3007	5632713	2016-01-04	75	16	98.0	10.0	10.0	10.0	10.0	10.0	10.0	3.1
3008	2396734	2016-01-04	265	23	98.0	10.0	10.0	10.0	10.0	10.0	10.0	1.06
3009	4616634	2016-01-04	105	72	99.0	10.0	10.0	10.0	10.0	10.0	10.0	6.33
3010	1175308	2016-01-04	100	2	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.07
3011	3157738	2016-01-04	175	10	88.0	9.0	9.0	9.0	10.0	10.0	9.0	0.52
3012	8866927	2016-01-04	65	5	100.0	10.0	10.0	10.0	10.0	10.0	10.0	4.29
3013	3657819	2016-01-04	99	55	97.0	9.0	10.0	10.0	10.0	10.0	9.0	3.13
3014	8212190	2016-01-04	150	7	97.0	10.0	8.0	10.0	10.0	10.0	10.0	1.88
3016	6884820	2016-01-04	45	13	86.0	9.0	8.0	9.0	9.0	9.0	8.0	2.39
3017	6821407	2016-01-04	47	38	95.0	10.0	10.0	10.0	10.0	10.0	10.0	5.56
3018	9563749	2016-01-04	38	2	100.0	10.0	10.0	10.0	10.0	10.0	10.0	1.62
3019	6474341	2016-01-04	150	11	96.0	10.0	9.0	10.0	9.0	9.0	9.0	1.63
